Price(Dollars/Unit)
499
554
561
563
414
360
424
527
711
1068
1016
1036
1011
1184
1510
1430
1289
1482
1371.81
1305.86
1277.78
1163.71
1402.74
1394.05
1385.00
1177.45
1280.52
1363.88
1869.13
1713.64
1599.37
1837.94
2010.04
2052.57
2113.13
2192.43
