HarvestedAcres
2420
4570
683
1670
2550
2340
59700
32200
3600
8230
36800
195
73
16900
13600
44300
43600
416
270
2530
35300
4380
268
1210
98100
42200
164
21600
1600
638
170
4110
60000
44
9450
14800
3390
4910
711
1970
2440
2670
59500
29200
3670
9250
34800
195
73
16700
13400
44900
43400
416
293
2310
36400
4740
223
1640
97200
42900
126
16200
1670
630
170
3720
59900
141
44
8410
14800
3390
4880
711
1890
2140
2640
53500
28500
3670
9340
34100
195
73
16500
13200
44700
44200
416
307
1730
35500
4740
219
1510
95900
48400
181
14900
1700
679
170
3730
57500
9230
162
44
6260
19100
2530
5360
579
747
1940
2620
56900
25200
3590
9580
33000
195
16400
13200
44900
45200
408
315
1740
36000
4740
372
1370
91200
43800
176
14400
1730
670
200
4000
56800
8500
138
6500
19200
