Value(Dollars)
17802000
22983000
2973000
13452000
11920000
8914000
287013000
86209000
16166000
78644000
119212000
894000
48000
88287000
49254000
239027000
750832000
1957000
1116000
13227000
170181000
31117000
301000
3854000
395541000
267662000
1182000
146130000
10067000
4840000
482000
20369000
578313000
147000
50512000
86012000
27205000
24790000
3390000
13826000
11582000
11169000
286941000
82523000
16212000
81470000
125331000
1223000
48000
137952000
51070000
247758000
1038600000
2415000
1450000
14287000
186777000
33915000
94000
4591000
430492000
276002000
1407000
121307000
11235000
4197000
503000
29404000
777675000
1338000
147000
46786000
83596000
27205000
21625000
4543000
13466000
9470000
12092000
254300000
57554000
16965000
83715000
130562000
1369000
48000
113809000
59745000
186096000
937962000
2550000
1594000
16524000
175422000
33424000
372000
5580000
372467000
254273000
1341000
106079000
11545000
5856000
289000
21587000
654021000
40738000
873000
147000
33930000
108143000
19470000
16347000
2347000
3081000
6829000
9663000
249877000
59668000
16954000
52510000
136101000
938000
82182000
63419000
105991000
461395000
2666000
1965000
19000000
155975000
34773000
440000
5206000
340913000
218238000
1312000
93836000
11982000
4814000
500000
21189000
351512000
35557000
1054000
35504000
104951000
