Production
12300
16200
2010
17400
12900
5930
795000
277000
56300
46500
392000
291
38
57300
141000
171000
142000
1520
814
8700
275000
21300
454
2780
666000
164000

72700
5510
1500
425
19000
206000
85
164000
102000
18100
18200
2280
16200
12900
6850
769000
276000
55300
46400
388000
382
38
81900
130000
180000
185000
1880
1070
8800
320000
22600
78
3280
751000
177000

59100
6250
1430
442
24000
276000
728
85
149000
96600
18100
17300
3200
16700
11700
7020
740000
241000
63100
47200
384000
406
38
67800
150000
132000
160000
1630
1150
6600
316000
21900
302
3600
682000
150000

50200
5780
1730
289
20400
230000
84600
544
85
117000
137000
13000
12400
1770
4500
9090
6240
690000
190000
59100
39500
390000
260
55200
144000
94300
99300

879
11700
295000
24800
227
3070
608000
133000

42800
6040
1600
500
22400
148000
80700
584
112000
150000
